source,title,description,content,publishedAt,url,leaning,country_of_origin,sentiment_label,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,cluster,cluster_label,clean_text,summary
associated-press,Modern cars are spying on you. Here's what you can do about it,"Modern cars are collecting more data than ever, raising privacy concerns. The Mozilla Foundation says cars are the worst product category for privacy. They collect data from interactions, onboard services, and connected devices. This data is often shared with…","While driving to a new restaurant, your cars satellite navigation system tracks your location and guides you to the destination. Onboard cameras constantly track your face and eye movements. When ano… [+6341 chars]",2025-11-30T15:52:41Z,https://apnews.com/article/auto-car-privacy-3674ce59c9b30f2861d29178a31e6ab7,Center,USA,Negative,-0.4019,0.042,0.073,0.885,3,Topic_3,driving new restaurant cars satellite navigation system tracks location guides destination onboard cameras constantly track face eye movements ano chars,
associated-press,Lost generation? How teens dislike news...,"You don't have to tell Cat Murphy or Lily Ogburn about the attitudes of young people toward journalists. The profession hasn't been popular among adults for many years, but a new survey shows the extent to which teens aged 13 to 18 feel the same way; Murphy a…","NEW YORK (AP) Cat Murphy, a college student, has wanted to be a journalist since she was 11. Many of her friends dont understand why.
When they engage with the news if they do they hear a cacophony … [+6742 chars]",2025-11-30T15:00:14Z,https://apnews.com/article/news-media-journalism-young-people-attitudes-f94bec50fc266d42d6ae369e7b9fb10e,Center,USA,Negative,-0.4795,0.0,0.093,0.907,2,Topic_2,new york cat murphy college student wanted journalist since many friends dont understand engage news hear cacophony chars,
associated-press,"Volunteering surges during the holiday season but is beneficial year-round, experts say","The holiday season is a popular time for volunteering, but experts say giving back is beneficial year-round. Many people feel more connected to their communities through acts of service. Researchers suggest that gratitude and generosity are intertwined, and t…","WASHINGTON (AP) The holiday season is a time for giving thanks, giving gifts and for many, a time for giving back.
Food banks, services that deliver meals to seniors and other U.S. charities typical… [+4714 chars]",2025-11-30T14:31:06Z,https://apnews.com/article/volunteering-service-holiday-season-health-b1b90dc4989bf3c35ccbef34327f1815,Center,USA,Positive,0.9831,0.407,0.0,0.593,3,Topic_3,washington holiday season time giving thanks giving gifts many time giving back food banks services deliver meals seniors charities typical chars,
associated-press,German far-right party sets up new youth wing as thousands protest...,A confident far-right Alternative for Germany has set up its new youth organization as thousands of protesters converged on the western city of Giessen. Some of the demonstrators have clashed with police. A convention of the anti-immigration party started mor…,"GIESSEN, Germany (AP) A confident far-right Alternative for Germany set up its new youth organization on Saturday even as thousands of protesters converged on the western city of Giessen, where the p… [+4987 chars]",2025-11-30T14:25:37Z,https://apnews.com/article/germany-far-right-afd-youth-organization-protests-53265d4217f54ad0b8669be549b9731a,Center,USA,Positive,0.7717,0.155,0.034,0.811,2,Topic_2,giessen germany confident farright alternative germany set new youth organization saturday even thousands protesters converged western city giessen chars,
associated-press,Netanyahu submits request for pardon during his ongoing corruption trial...,"Israeli Prime Minister Benjamin Netanyahu has asked Israel's president for a pardon during his ongoing corruption trial. On Sunday, Netanyahu's office confirmed the request was submitted to the president's legal department. The president's office called it an…",TEL AVIV (AP) Israeli Prime Minister Benjamin Netanyahu on Sunday asked the countrys president to grant him a pardon from corruption charges seeking to end a long-running trial that has bitterly divi… [+3072 chars],2025-11-30T12:31:37Z,https://apnews.com/article/mideast-wars-netanyahu-pardon-5dbc2461b440c8edc8d82d31650cdbe8,Center,USA,Positive,0.6249,0.124,0.0,0.876,2,Topic_2,tel aviv israeli prime minister benjamin netanyahu sunday asked countrys president grant pardon corruption charges seeking end longrunning trial bitterly divi chars,
associated-press,"Swiss voters consider whether women, like all male citizens, must do national service","Swiss voters have decisively rejected a call to require women to do national service in the military, civil protection teams or other forms as all men must do already. Official results with counting still ongoing in some areas after Sunday's referendum showed…","GENEVA (AP) Swiss voters on Sunday decisively rejected a call to require women to do national service in the military, civil protection teams or other forms, as all men must do already.
Official res… [+2802 chars]",2025-11-30T12:24:37Z,https://apnews.com/article/switzerland-national-service-44e23e7d0579058f2bc69dd9ce7e655d,Center,USA,Negative,-0.2023,0.043,0.057,0.9,2,Topic_2,geneva swiss voters sunday decisively rejected call require women national service military civil protection teams forms men must already official res chars,
associated-press,AI is changing how we shop for the holidays. Here’s what’s new,Major retail chains and tech companies are offering new or updated artificial intelligence tools in time for the holiday shopping season. They hope to give consumers an easier gift-buying experience and themselves an augmented share of online spending. Althou…,"NEW YORK (AP) Major retail chains and tech companies are offering new or updated artificial intelligence tools in time for the holiday shopping season, hoping to give consumers an easier gift-buying … [+7454 chars]",2025-11-30T12:13:53Z,https://apnews.com/article/artificial-intelligence-holiday-shopping-chatgpt-0722dce44b4a479ec4ce476bbd15dfa9,Center,USA,Positive,0.936,0.266,0.0,0.734,3,Topic_3,new york major retail chains tech companies offering new updated artificial intelligence tools time holiday shopping season hoping give consumers easier giftbuying chars,
associated-press,China's factory activity contracts for 8th straight month in November,"China’s factory activity contracted for the eighth straight month in November, according to an official survey on Sunday, underscoring challenges for the country’s economy despite the U.S.-China trade truce. The official manufacturing purchasing managers inde…","HONG KONG (AP) Chinas factory activity contracted for the eighth straight month in November, according to an official survey on Sunday, underscoring challenges for the countrys economy despite the U.… [+2093 chars]",2025-11-30T03:50:38Z,https://apnews.com/article/china-factory-economy-us-trade-c8b0e57bfa20d26447865db4a6fecaa5,Center,USA,Positive,0.4767,0.108,0.0,0.892,2,Topic_2,hong kong chinas factory activity contracted eighth straight month november according official survey sunday underscoring challenges countrys economy despite chars,
associated-press,US halts all asylum decisions after shooting of National Guard members,The Trump administration has halted all asylum decisions and paused issuing visas for people traveling on Afghan passports. The moves comes after one National Guard member was killed and a second was critically wounded in a shooting Wednesday near the…,WASHINGTON (AP) The Trump administration has halted all asylum decisions and paused issuing visas for people traveling on Afghan passports days after a shooting near the White House that left one Nat… [+5775 chars],2025-11-30T00:32:53Z,https://apnews.com/article/asylum-decisions-paused-national-guard-shooting-3459a0a773cfa40c90751b43e38f5db6,Center,USA,Negative,-0.6705,0.0,0.086,0.914,4,Topic_4,washington trump administration halted asylum decisions paused issuing visas people traveling afghan passports days shooting near white house left one nat chars,
associated-press,Hondurans face election as Donald Trump stirs political waters,"Hondurans are buzzing about U.S. President Donald Trump's recent involvement in their presidential election. Trump endorsed Nasry ""Tito"" Asfura from the conservative National Party and pardoned ex-President Juan Orlando Hernández. He was jailed in the U.S. fo…","TEGUCIGALPA, Honduras (AP) The day before Honduras elects a new president, suddenly the main topics of conversation here shifted from domestic matters to U.S. President Donald Trump and the former Ho… [+5257 chars]",2025-11-29T20:49:56Z,https://apnews.com/article/honduras-trump-election-hernandez-pardon-9cd64d1055c3a60bca9390f4474efdd2,Center,USA,Positive,0.34,0.127,0.062,0.811,2,Topic_2,tegucigalpa honduras day honduras elects new president suddenly main topics conversation shifted domestic matters president donald trump former chars,
associated-press,Authorities probe corruption and negligence in Hong Kong fire,Hong Kong’s deadliest fire in decades has raised questions about corruption and negligence in the renovations of the apartment complex where at least 128 people died.,"Hong Kongs deadliest fire in decades has raised questions about corruption and negligence in the renovations of the apartment complex where at least 128 people died.
An intense fire broke out at Wan… [+6104 chars]",2025-11-29T20:30:55Z,https://apnews.com/article/hong-kong-apartment-complex-fire-474954d3b788cb1cddf6680cb7252c07,Center,USA,Negative,-0.8126,0.0,0.208,0.792,0,Topic_0,hong kongs deadliest fire decades raised questions corruption negligence renovations apartment complex least people died intense fire broke wan chars,
associated-press,Governments endorse protecting sharks amid overfishing worries,Governments at a wildlife trade conference have adopted greater protections for over 70 species of sharks and rays amid concerns that overfishing is driving some to the brink of extinction.,"Governments at a wildlife trade conference have adopted greater protections for over 70 species of sharks and rays amid concerns that overfishing is driving some to the brink of extinction.
The meas… [+3413 chars]",2025-11-29T20:19:38Z,https://apnews.com/article/sharks-cites-fin-trade-e132d56b5121eca0b1318c8164318cc1,Center,USA,Positive,0.25,0.118,0.069,0.813,2,Topic_2,governments wildlife trade conference adopted greater protections species sharks rays amid concerns overfishing driving brink extinction meas chars,
associated-press,Trump says Venezuela's airspace should be viewed as closed,President Donald Trump is saying the airspace “above and surrounding” Venezuela should be considered as “closed in its entirety.” It an assertion made on social media Saturday that raises more questions about the U.S. pressure on Venezuelan leader Nicolás Mad…,"WEST PALM BEACH, Fla. (AP) President Donald Trump on Saturday said that the airspace above and surrounding Venezuela should be considered as closed in its entirety, an assertion that raised more ques… [+2971 chars]",2025-11-29T19:04:09Z,https://apnews.com/article/trump-venezuela-airspace-faa-maduro-pressure-campaign-39d624a0f5d5422cdfb62826a5a56373,Center,USA,Negative,-0.296,0.0,0.044,0.956,4,Topic_4,west palm beach fla president donald trump saturday said airspace surrounding venezuela considered closed entirety assertion raised ques chars,
associated-press,AI country hit built on Blanco Brown's sound sparks question of attribution...,"An AI-generated country song, “Walk My Walk,” recently topped Billboard's country digital song sales chart. It's credited to a fictional artist named Breaking Rust, but the vocal style is based on Grammy-nominated country artist Blanco Brown. Brown was unawar…","LOS ANGELES (AP) When an AI-generated country song called Walk My Walk hit No. 1 on Billboards country digital song sales chart this month, it was credited to a fictional artist named Breaking Rust a… [+7134 chars]",2025-11-29T18:00:14Z,https://apnews.com/article/walk-my-walk-blanco-brown-2c9bbde6e88434365640c50e2998cfe2,Center,USA,Positive,0.1901,0.034,0.0,0.966,3,Topic_3,los angeles aigenerated country song called walk walk hit billboards country digital song sales chart month credited fictional artist named breaking rust chars,
associated-press,"Playwright Tom Stoppard who won Academy Award for screenplay for “Shakespeare In Love"" has died","British playwright Tom Stoppard, who won an Academy Award for the screenplay for 1998’s “Shakespeare In Love” has died. He was 88. In a statement Saturday, United Agents said Stoppard died “peacefully” at his home in Dorset in southern England, surrounded by …","LONDON (AP) British playwright Tom Stoppard, a playful, probing dramatist who won an Academy Award for the screenplay for 1998s Shakespeare In Love, has died. He was 88.
In a statement Saturday, Uni… [+7060 chars]",2025-11-29T17:49:56Z,https://apnews.com/article/stoppard-obit-britain-playwright-2721a8178c7e9691fdbd84e8fc9c0736,Center,USA,Positive,0.891,0.27,0.136,0.593,4,Topic_4,london british playwright tom stoppard playful probing dramatist academy award screenplay shakespeare love died statement saturday uni chars,
associated-press,Shoppers spend billions on Black Friday 2025,"Despite wider economic uncertainty hovering above this year’s holiday season, shoppers turned out in big numbers for Black Friday — spending billions of dollars both in stores and online. Adobe Analytics, which tracks e-commerce, said U.S. consumers spent a r…","NEW YORK (AP) Despite wider economic uncertainty hovering above this years holiday season, shoppers turned out in big numbers for Black Friday spending billions of dollars both in stores and online.… [+4865 chars]",2025-11-29T17:01:27Z,https://apnews.com/article/black-friday-shopping-spending-7f8b8e9244171333bfa6a7e8a91bffd0,Center,USA,Positive,0.577,0.099,0.0,0.901,3,Topic_3,new york despite wider economic uncertainty hovering years holiday season shoppers turned big numbers black friday spending billions dollars stores online chars,
associated-press,"Student deported back to native Honduras while flying home for Thanksgiving, despite court order","Any Lucia Lopez Belloza, 19, had already passed through security at Boston Logan International Airport on Nov. 20 when she was told there was an issue with her boarding pass, said attorney Todd Pomerleau.","Concord, N.H. A college freshman trying to fly from Boston to Texas to surprise her family for Thanksgiving was instead deported to Honduras in violation of a court order, according to her attorney.… [+1854 chars]",2025-11-29T13:45:02Z,https://apnews.com/article/babson-student-deported-thanksgiving-467393d8d9b9ae6351f99de7b9cbfb98,Center,USA,Positive,0.34,0.049,0.0,0.951,3,Topic_3,concord college freshman trying fly boston texas surprise family thanksgiving instead deported honduras violation court order according attorney chars,
associated-press,Airbus software glitch linked to JetBlue altitude drop sparks disruptions,Airlines around the world canceled and delayed flights heading into the weekend to fix software on a widely used commercial plane after an analysis found computer code may have contributed to a sudden drop in the altitude of a JetBlue aircraft last month. Air…,"Airlines around the world reported short-term disruptions heading into the weekend as they fixed software on a widely used commercial aircraft, after an analysis found the computer code may have cont… [+4918 chars]",2025-11-29T13:20:32Z,https://apnews.com/article/airbus-airlines-software-fix-flight-delays-a8caca9054ed3007560df90f8a6cd732,Center,USA,Negative,-0.7579,0.0,0.153,0.847,2,Topic_2,airlines around world reported shortterm disruptions heading weekend fixed software widely used commercial aircraft analysis found computer code may cont chars,
associated-press,"Turkish official says Black Sea tankers may have been hit by mines, missiles or drones","Ukraine has used Sea Baby naval drones to strike two Russian oil tankers in the Black Sea. An official from Ukraine’s security services told The Associated Press about the attack on Saturday. The tankers, Kairos and Virat, are part of Russia’s “shadow fleet,”…","ISTANBUL (AP) Ukraine used domestically produced Sea Baby naval drones to strike two Russian oil tankers in the Black Sea, an official from Ukraines security services told The Associated Press on Sat… [+3896 chars]",2025-11-29T09:00:32Z,https://apnews.com/article/tankers-russia-sanctions-shadow-fleet-mines-drones-black-sea-76dce005c40a0bf38faf2fbf8be71e38,Center,USA,Negative,-0.296,0.039,0.074,0.887,3,Topic_3,istanbul ukraine used domestically produced sea baby naval drones strike two russian oil tankers black sea official ukraines security services told associated press sat chars,
associated-press,Rise of lab-grown diamonds leaves Botswana struggling,"Diamonds helped transform Botswana from one of the world’s poorest nations into one of Africa’s success stories. It became the world’s top diamond producer by value, and the industry has funded the country’s health, education and infrastructure. But the rapid…","GABORONE, Botswana (AP) In a village outside Botswana s capital, Keorapetse Koko sat on an aging couch in her sparsely furnished home, stunned that a career and an entire nations economy built on dia… [+7194 chars]",2025-11-29T08:30:23Z,https://apnews.com/article/diamonds-botswana-africa-economy-mining-3f2f2e50d21d1a84f0ce86fa0b78d1fe,Center,USA,Positive,0.25,0.137,0.079,0.784,2,Topic_2,gaborone botswana village outside botswana capital keorapetse koko sat aging couch sparsely furnished home stunned career entire nations economy built dia chars,
associated-press,Police evacuate California shopping mall after shooting wounds 2,Police in California evacuated a shopping mall on one of the busiest shopping days of the year after a shooting left two people with gunshot wounds. The San Jose Police Department says Friday's shooting at the Valley Fair Mall was an isolated incident. It say…,"SAN JOSE, California (AP) Police in California evacuated a shopping mall Friday, one of the busiest shopping days of the year, after a shooting left two people with gunshot wounds. 
The shooting was… [+544 chars]",2025-11-29T04:20:36Z,https://apnews.com/article/mall-shooting-san-jose-clara-california-64f409ef46e419f8c7817c98b5075907,Center,USA,Neutral,0.0,0.043,0.043,0.914,3,Topic_3,san jose california police california evacuated shopping mall friday one busiest shopping days year shooting left two people gunshot wounds shooting chars,
associated-press,Trump says he wants to 'permanently pause' migration to the US from poorer countries,"WEST PALM BEACH, Fla. — President Donald Trump says he wants to “permanently pause migration” from poorer nations and is promising to seek to expel millions of immigrants from the United States by revoking their legal status. He is blaming…","WEST PALM BEACH, Fla. (AP) President Donald Trump says he wants to permanently pause migration from poorer nations and is promising to seek to expel millions of immigrants from the United States by r… [+6601 chars]",2025-11-28T20:33:00Z,https://apnews.com/article/trump-national-guard-shooting-migration-17bc0655f4544cc702623574ed08eb62,Center,USA,Negative,-0.2263,0.113,0.128,0.759,2,Topic_2,west palm beach fla president donald trump says wants permanently pause migration poorer nations promising seek expel millions immigrants united states chars,
associated-press,Death toll from floods in Thailand reaches 145 as receding water reveals widespread damage,Floods in southern Thailand leave 145 dead and millions affected as waters recede.,"BANGKOK The death toll from flooding in southern Thailand has reached at least 145, officials said Friday, as receding waters started to reveal devastating damage across the region.
More than 1.2 mi… [+2108 chars]",2025-11-28T19:48:40Z,https://apnews.com/article/thailand-south-flood-damage-aa127ba2af6a845dc309cfc2fe99d035,Center,USA,Negative,-0.9186,0.033,0.39,0.577,4,Topic_4,bangkok death toll flooding southern thailand reached least officials said friday receding waters started reveal devastating damage across region chars,
associated-press,Suspect in shooting of National Guard members now facing a first-degree murder charge,"The charges against the man who authorities say shot two National Guard members have been upgraded to first-degree murder after one of the soldiers died. Jeanine Pirro, the U.S. attorney for the District of Columbia, announced the new charge Friday.…","WASHINGTON (AP) Charges against the man accused of shooting two National Guard members have been upgraded to first-degree murder after one of the soldiers died, the U.S. attorney for the District of … [+8380 chars]",2025-11-28T18:47:00Z,https://apnews.com/article/national-guard-shooting-suspect-585e36855d1dddd3e801708987c776c0,Center,USA,Negative,-0.9538,0.0,0.269,0.731,4,Topic_4,washington charges man accused shooting two national guard members upgraded firstdegree murder one soldiers died attorney district chars,
associated-press,Federal ban threatens THC-infused drinks and snacks — what happens now,Here’s what to know about the looming ban on impairing products derived from hemp.,"MINNEAPOLIS (AP) The production lines at Indeed Brewing moved quickly, the cans filling not with beer, but with THC-infused seltzer. The product, which features the compound that gets cannabis users … [+7757 chars]",2025-11-28T17:42:19Z,https://apnews.com/article/hemp-thc-drinks-ban-law-8d77842cb250291a178db6f9d39f8b7e,Center,USA,Negative,-0.8834,0.0,0.361,0.639,3,Topic_3,minneapolis production lines indeed brewing moved quickly cans filling beer thcinfused seltzer product features compound gets cannabis users chars,
associated-press,What we do and don’t know about the shooting of 2 National Guard members in DC,The brazen daytime shooting of two National Guard members in the nation’s capital by a man described as an Afghan national has raised multiple questions.,"FBI Director Kash Patel, center, and District of Columbia Mayor Muriel Bowser, left, arrive to speak to a news conference near the scene where two National Guard soldiers were shot near the White Hou… [+42 chars]",2025-11-28T15:00:00Z,https://apnews.com/article/national-guard-washington-shooting-suspect-b37bc92853ba14625678236318f80751,Center,USA,Neutral,0.0,0.0,0.0,1.0,4,Topic_4,fbi director kash patel center district columbia mayor muriel bowser left arrive speak news conference near scene two national guard soldiers shot near white hou chars,
associated-press,Black Friday arrives with solid momentum despite economic uncertainty,"The economic picture hasn’t looked very rosy. Hiring has been sluggish. Consumers have been hit with soaring meat prices. Layoffs are rippling through companies. But despite those concerns, shoppers were hitting the stores in full strength on Black Friday. Th…","NEW YORK (AP) The economic picture hasnt looked very rosy: Hiring has been sluggish. Consumers have been dealing with soaring meat prices. Layoffs are rippling through companies.
But despite those c… [+5629 chars]",2025-11-28T07:07:17Z,https://apnews.com/article/black-friday-deals-holiday-shopping-2d85fcbab82d71ecd930b6fe1060f3c1,Center,USA,Positive,0.6449,0.132,0.034,0.834,3,Topic_3,new york economic picture hasnt looked rosy hiring sluggish consumers dealing soaring meat prices layoffs rippling companies despite chars,
associated-press,Somalia's crumbling hospitals show the toll of aid cuts and war,"Somalia is one of the world’s poorest countries and it faces a crisis of health care made worse by the Trump administration's deep cuts in foreign aid. The loss of funding led to over 6,000 health workers losing their jobs. Many Somalis believe they can’t dep…","MOGADISHU, Somalia (AP) To save the life of his badly malnourished 3-year-old son, farmer Yusuf Bulle had to travel from a remote area of southern Somalia to the capital, Mogadishu, where a rare heal… [+6377 chars]",2025-11-28T04:16:33Z,https://apnews.com/article/somalia-health-care-extremism-mogadishu-shabab-8fdbc540700069b620b131e744ad2819,Center,USA,Negative,-0.9623,0.043,0.323,0.634,2,Topic_2,mogadishu somalia save life badly malnourished yearold son farmer yusuf bulle travel remote area southern somalia capital mogadishu rare heal chars,
associated-press,Firefighters make final search for survivors in Hong Kong tower,Hong Kong firefighters have been searching a high-rise apartment complex after a massive fire killed at least 94 people. The blaze engulfed seven of the eight towers in the Wang Fuk Court complex. Crews are focusing on 25 apartments where calls for help were …,HONG KONG (AP) Hong Kong firefighters combed through a high-rise apartment complex apartment-by-apartment Friday in a final attempt to find anyone alive after a massive fire engulfed seven of eight t… [+3726 chars],2025-11-28T03:26:08Z,https://apnews.com/article/hong-kong-tai-po-wang-fuk-court-fire-a84627d7f3ee62050c36a9aa3218205c,Center,USA,Negative,-0.6369,0.046,0.118,0.836,0,Topic_0,hong kong hong kong firefighters combed highrise apartment complex apartmentbyapartment friday final attempt find anyone alive massive fire engulfed seven eight chars,
